2021-10-22 19:44:51,672 DEBUG   : upload file exception: 'ALLOWED_EXTENSIONS'
2021-10-22 19:54:54,259 DEBUG   : filename is 汇总表.docx
2021-10-22 19:55:00,978 DEBUG   : upload path not exist, do make dir
2021-10-22 19:55:52,530 DEBUG   : upload file exception: 'PLOAD_PATH'
2021-10-22 19:55:52,641 DEBUG   : filename is 汇总表.docx
2021-10-22 19:55:52,642 DEBUG   : upload path not exist, do make dir
2021-10-22 19:55:52,643 DEBUG   : upload file exception: 'PLOAD_PATH'
2021-10-22 19:56:18,477 DEBUG   : filename is 复赛报名表.docx
2021-10-22 19:56:21,583 DEBUG   : upload path not exist, do make dir
2021-10-22 19:56:32,537 DEBUG   : 复赛报名表.docx save successfully
2021-10-23 00:16:22,684 DEBUG   : filename is 复赛报名表.docx
2021-10-23 00:16:23,114 DEBUG   : input_video path not exist, do make dir
2021-10-23 00:16:24,272 DEBUG   : 复赛报名表.docx save successfully
2021-10-24 17:54:02,633 DEBUG   : test1.mp4 not allowed
2021-10-24 17:54:52,829 DEBUG   : filename is test1.mp4
2021-10-24 17:54:55,696 DEBUG   : /static/video path not exist, do make dir
2021-10-24 17:55:06,743 DEBUG   : test1.mp4 save successfully
2021-10-24 17:57:39,262 DEBUG   : filename is test1.mp4
2021-10-24 17:57:42,897 DEBUG   : ../static/video path not exist, do make dir
2021-10-24 17:58:11,186 DEBUG   : test1.mp4 save successfully
2021-10-24 18:01:24,138 DEBUG   : filename is test1.mp4
2021-10-24 18:01:51,931 DEBUG   : /static/video path exist
2021-10-24 18:01:58,795 DEBUG   : test1.mp4 save successfully
2021-10-24 18:03:17,713 DEBUG   : filename is test1.mp4
2021-10-24 18:03:23,457 DEBUG   : /static/static/video path not exist, do make dir
2021-10-24 18:03:42,913 DEBUG   : test1.mp4 save successfully
2021-10-24 18:16:23,273 DEBUG   : filename is test1.mp4
2021-10-24 18:16:23,920 DEBUG   : /static/static/video path exist
2021-10-24 18:16:24,397 DEBUG   : test1.mp4 save successfully
2021-10-24 20:09:28,390 DEBUG   : filename is test1.mp4
2021-10-24 20:09:28,392 DEBUG   : /static/static/video path exist
2021-10-24 20:09:28,395 DEBUG   : test1.mp4 save successfully
2021-10-24 20:09:43,178 DEBUG   : filename is 1.mp4
2021-10-24 20:09:43,180 DEBUG   : /static/static/video path exist
2021-10-24 20:09:43,192 DEBUG   : 1.mp4 save successfully
2021-10-24 20:11:30,148 DEBUG   : filename is test1.mp4
2021-10-24 20:11:30,150 DEBUG   : /static/static/video path exist
2021-10-24 20:11:30,152 DEBUG   : test1.mp4 save successfully
2021-10-24 20:11:41,664 DEBUG   : filename is test2.mp4
2021-10-24 20:11:41,665 DEBUG   : /static/static/video path exist
2021-10-24 20:11:41,668 DEBUG   : test2.mp4 save successfully
2021-10-24 20:13:01,926 DEBUG   : filename is test1.mp4
2021-10-24 20:13:01,928 DEBUG   : /static/static/video path exist
2021-10-24 20:13:01,930 DEBUG   : test1.mp4 save successfully
2021-10-24 20:13:06,969 DEBUG   : filename is test1.mp4
2021-10-24 20:13:06,970 DEBUG   : /static/static/video path exist
2021-10-24 20:13:06,973 DEBUG   : test1.mp4 save successfully
2021-10-24 20:13:56,807 DEBUG   : filename is 1.mp4
2021-10-24 20:13:56,808 DEBUG   : /static/static/video path exist
2021-10-24 20:13:56,824 DEBUG   : 1.mp4 save successfully
2021-10-24 20:14:02,675 DEBUG   : filename is test2.mp4
2021-10-24 20:14:02,677 DEBUG   : /static/static/video path exist
2021-10-24 20:14:02,681 DEBUG   : test2.mp4 save successfully
2021-10-24 20:14:40,840 DEBUG   : filename is 1.mp4
2021-10-24 20:14:40,842 DEBUG   : /static/static/video path exist
2021-10-24 20:14:40,906 DEBUG   : 1.mp4 save successfully
2021-10-24 20:14:43,038 DEBUG   : filename is test1.mp4
2021-10-24 20:14:43,040 DEBUG   : /static/static/video path exist
2021-10-24 20:14:43,043 DEBUG   : test1.mp4 save successfully
2021-10-24 20:19:34,684 DEBUG   : filename is 1.mp4
2021-10-24 20:19:34,686 DEBUG   : /static/static/video path exist
2021-10-24 20:19:34,706 DEBUG   : 1.mp4 save successfully
2021-10-24 20:19:50,210 DEBUG   : filename is test1.mp4
2021-10-24 20:19:50,211 DEBUG   : /static/static/video path exist
2021-10-24 20:19:50,214 DEBUG   : test1.mp4 save successfully
2021-10-24 20:25:28,695 DEBUG   : filename is 1.mp4
2021-10-24 20:25:28,697 DEBUG   : /static/static/video path exist
2021-10-24 20:25:28,714 DEBUG   : 1.mp4 save successfully
2021-10-24 20:25:39,881 DEBUG   : filename is test1.mp4
2021-10-24 20:25:39,883 DEBUG   : /static/static/video path exist
2021-10-24 20:25:39,886 DEBUG   : test1.mp4 save successfully
2021-10-25 16:53:29,259 DEBUG   : filename is standard.mp4
2021-10-25 16:53:29,261 DEBUG   : /static/static/video path exist
2021-10-25 16:53:29,306 DEBUG   : standard.mp4 save successfully
2021-10-25 16:53:47,749 DEBUG   : filename is test1.mp4
2021-10-25 16:53:47,750 DEBUG   : /static/static/video path exist
2021-10-25 16:53:47,777 DEBUG   : test1.mp4 save successfully
2021-10-25 16:57:09,533 DEBUG   : filename is standard.mp4
2021-10-25 16:57:09,534 DEBUG   : /static/static/video path exist
2021-10-25 16:57:09,578 DEBUG   : standard.mp4 save successfully
2021-10-25 16:57:22,663 DEBUG   : filename is test1.mp4
2021-10-25 16:57:22,666 DEBUG   : /static/static/video path exist
2021-10-25 16:57:22,690 DEBUG   : test1.mp4 save successfully
2021-10-25 16:57:44,065 DEBUG   : filename is test1.mp4
2021-10-25 16:57:44,066 DEBUG   : /static/static/video path exist
2021-10-25 16:57:44,092 DEBUG   : test1.mp4 save successfully
2021-10-25 16:57:44,507 DEBUG   : filename is test2.mp4
2021-10-25 16:57:44,508 DEBUG   : /static/static/video path exist
2021-10-25 16:57:44,632 DEBUG   : test2.mp4 save successfully
2021-10-25 17:04:53,433 DEBUG   : filename is standard.mp4
2021-10-25 17:04:53,435 DEBUG   : /static/static/video path exist
2021-10-25 17:04:53,478 DEBUG   : standard.mp4 save successfully
2021-10-25 17:05:10,752 DEBUG   : filename is test1.mp4
2021-10-25 17:05:10,754 DEBUG   : /static/static/video path exist
2021-10-25 17:05:10,779 DEBUG   : test1.mp4 save successfully
2021-10-25 17:05:34,959 DEBUG   : filename is test1.mp4
2021-10-25 17:05:34,961 DEBUG   : /static/static/video path exist
2021-10-25 17:05:35,033 DEBUG   : test1.mp4 save successfully
2021-10-25 17:05:35,136 DEBUG   : filename is test2.mp4
